,count,mean,std,min,25%,50%,75%,max
CRIM,506.0,3.61,8.6,0.01,0.08,0.26,3.68,88.98
ZN,506.0,11.36,23.32,0.0,0.0,0.0,12.5,100.0
INDUS,506.0,11.14,6.86,0.46,5.19,9.69,18.1,27.74
NOX,506.0,0.55,0.12,0.38,0.45,0.54,0.62,0.87
RM,506.0,6.28,0.7,3.56,5.89,6.21,6.62,8.78
AGE,506.0,68.57,28.15,2.9,45.02,77.5,94.07,100.0
DIS,506.0,3.8,2.11,1.13,2.1,3.21,5.19,12.13
TAX,506.0,408.24,168.54,187.0,279.0,330.0,666.0,711.0
PTRATIO,506.0,18.46,2.16,12.6,17.4,19.05,20.2,22.0
B,506.0,356.67,91.29,0.32,375.38,391.44,396.22,396.9
LSTAT,506.0,12.65,7.14,1.73,6.95,11.36,16.96,37.97
MEDV,506.0,22.53,9.2,5.0,17.02,21.2,25.0,50.0
